,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
9839,1,37,179.0,77.0,7.0,81.0,39.5
9680,1,23,195.0,87.0,26.0,110.0,40.5
7093,1,33,181.0,77.0,12.0,88.0,40.1
11293,0,66,156.0,54.0,9.0,77.0,39.5
820,0,32,144.0,49.0,5.0,90.0,39.0
1643,0,24,175.0,66.0,17.0,93.0,40.5
7219,0,59,164.0,63.0,20.0,109.0,40.5
12121,0,21,170.0,67.0,17.0,95.0,40.0
2631,0,23,189.0,79.0,5.0,94.0,38.9
107,0,26,159.0,53.0,19.0,92.0,40.5
10330,0,60,183.0,82.0,10.0,92.0,39.2
367,0,56,160.0,63.0,4.0,84.0,38.7
8796,1,50,202.0,102.0,2.0,81.0,38.3
416,0,49,173.0,67.0,10.0,85.0,39.5
2420,1,63,177.0,80.0,3.0,89.0,38.7
729,1,24,166.0,71.0,2.0,78.0,38.2
6874,0,41,173.0,69.0,10.0,91.0,39.7
9993,0,66,158.0,53.0,19.0,103.0,40.6
8604,0,24,169.0,68.0,21.0,103.0,40.3
3559,0,31,164.0,57.0,22.0,109.0,40.7
6037,1,30,180.0,84.0,16.0,98.0,40.1
9840,1,44,185.0,87.0,10.0,89.0,39.7
6208,0,78,174.0,73.0,24.0,95.0,40.7
2388,1,26,176.0,81.0,12.0,90.0,39.7
5562,1,36,198.0,101.0,8.0,89.0,39.8
3433,1,31,180.0,79.0,25.0,102.0,40.8
10498,0,55,158.0,60.0,4.0,94.0,38.4
8440,1,37,195.0,97.0,18.0,97.0,40.4
6749,0,27,166.0,58.0,15.0,101.0,40.1
14761,1,28,171.0,76.0,15.0,94.0,40.5
510,1,36,173.0,75.0,16.0,94.0,40.4
700,1,21,182.0,87.0,22.0,107.0,40.6
4026,1,27,194.0,90.0,7.0,89.0,39.5
11136,1,71,190.0,90.0,25.0,109.0,40.9
2628,0,27,161.0,55.0,13.0,93.0,40.2
3680,1,51,194.0,96.0,12.0,99.0,39.9
1277,1,32,182.0,87.0,20.0,98.0,40.7
5228,0,47,176.0,75.0,6.0,83.0,39.8
2030,0,37,144.0,47.0,17.0,96.0,40.0
6225,0,79,160.0,60.0,28.0,108.0,40.9
39,1,61,183.0,86.0,1.0,81.0,38.3
1891,0,46,151.0,51.0,28.0,108.0,40.9
7213,1,55,183.0,85.0,20.0,94.0,40.3
4786,1,50,169.0,74.0,30.0,113.0,40.8
3422,1,26,191.0,96.0,8.0,92.0,39.7
7732,1,53,188.0,88.0,16.0,96.0,40.5
9753,0,79,142.0,50.0,14.0,86.0,40.1
9584,0,27,164.0,59.0,4.0,86.0,39.1
2980,0,54,162.0,63.0,13.0,101.0,40.0
9630,0,60,155.0,54.0,16.0,99.0,40.5
13063,1,78,187.0,88.0,22.0,98.0,40.8
1303,0,21,167.0,63.0,22.0,102.0,40.8
11514,1,69,185.0,85.0,30.0,113.0,40.7
7711,1,79,176.0,83.0,2.0,89.0,38.3
7472,1,28,175.0,74.0,23.0,107.0,40.7
346,1,76,195.0,93.0,23.0,96.0,40.5
7377,0,22,177.0,70.0,22.0,109.0,40.6
8777,1,30,177.0,80.0,9.0,92.0,39.4
10688,1,26,187.0,89.0,21.0,106.0,40.5
474,1,25,198.0,96.0,5.0,85.0,39.1
4400,0,30,164.0,66.0,1.0,67.0,38.1
8950,0,47,175.0,69.0,29.0,117.0,41.1
6066,0,66,171.0,62.0,3.0,80.0,38.6
10608,1,71,186.0,92.0,7.0,85.0,39.5
9798,1,25,177.0,78.0,26.0,108.0,40.9
322,1,20,187.0,86.0,23.0,100.0,40.3
14195,1,78,191.0,91.0,24.0,98.0,40.6
10506,1,44,195.0,92.0,6.0,83.0,39.4
7877,1,51,174.0,80.0,18.0,82.0,40.4
12184,0,22,159.0,55.0,4.0,86.0,38.8
2754,1,52,190.0,93.0,26.0,105.0,40.5
9742,0,47,147.0,51.0,24.0,106.0,40.3
11504,0,54,141.0,48.0,18.0,103.0,40.3
12597,0,42,153.0,56.0,19.0,102.0,40.5
13380,1,56,200.0,100.0,9.0,92.0,39.9
971,0,20,176.0,69.0,10.0,84.0,40.2
3076,0,41,158.0,54.0,19.0,99.0,40.3
6700,0,21,157.0,54.0,16.0,98.0,40.4
12273,0,24,180.0,77.0,28.0,113.0,40.5
12835,0,65,166.0,70.0,15.0,100.0,39.9
12547,0,43,165.0,65.0,16.0,93.0,40.4
8628,1,38,178.0,81.0,26.0,110.0,40.6
5168,0,35,171.0,70.0,6.0,96.0,39.4
6794,1,20,173.0,79.0,2.0,78.0,37.9
1201,1,28,183.0,88.0,6.0,78.0,39.4
2727,1,70,176.0,85.0,25.0,99.0,40.7
6104,0,22,156.0,50.0,28.0,104.0,40.8
8271,0,34,157.0,61.0,27.0,106.0,41.1
10254,1,24,185.0,91.0,29.0,97.0,40.8
36,0,70,154.0,59.0,10.0,88.0,40.0
6032,0,59,175.0,73.0,10.0,86.0,39.9
4751,1,24,184.0,79.0,24.0,102.0,40.6
6742,1,42,212.0,112.0,12.0,93.0,40.0
6618,0,64,170.0,69.0,22.0,100.0,40.4
6935,0,42,159.0,57.0,12.0,93.0,39.8
5786,0,20,163.0,66.0,1.0,86.0,37.8
11305,1,27,213.0,119.0,9.0,87.0,39.9
7895,0,50,173.0,73.0,8.0,85.0,39.9
4600,1,37,170.0,76.0,7.0,86.0,39.3
13511,1,55,167.0,75.0,12.0,90.0,40.1
3817,1,61,183.0,85.0,20.0,99.0,40.7
3090,0,48,197.0,89.0,18.0,102.0,40.3
12233,0,24,176.0,66.0,6.0,85.0,39.2
1288,1,30,199.0,99.0,16.0,103.0,40.3
3031,1,27,191.0,90.0,18.0,107.0,40.6
9367,0,42,163.0,66.0,8.0,87.0,39.5
2977,0,47,173.0,67.0,2.0,86.0,38.1
2400,0,76,167.0,65.0,26.0,102.0,40.9
9463,0,43,156.0,54.0,24.0,108.0,40.9
14509,0,40,172.0,66.0,20.0,98.0,40.7
5664,0,71,157.0,62.0,21.0,98.0,40.5
4252,1,77,186.0,93.0,29.0,102.0,40.8
1746,0,70,179.0,80.0,22.0,105.0,40.5
7508,1,45,177.0,85.0,7.0,89.0,39.5
7510,1,24,195.0,92.0,10.0,93.0,39.8
9923,1,49,181.0,87.0,10.0,92.0,39.8
11882,0,47,159.0,60.0,27.0,104.0,40.8
11927,0,47,158.0,55.0,25.0,108.0,41.0
6595,1,32,189.0,94.0,7.0,83.0,39.2
9791,1,33,195.0,94.0,12.0,81.0,40.3
9891,0,68,173.0,68.0,13.0,91.0,39.9
11909,1,68,173.0,77.0,28.0,105.0,40.8
6433,1,65,176.0,88.0,30.0,110.0,40.4
2507,1,59,190.0,93.0,22.0,93.0,40.7
14118,0,24,155.0,60.0,18.0,99.0,40.6
14432,0,30,164.0,62.0,2.0,81.0,38.1
10827,1,66,193.0,101.0,1.0,83.0,37.9
210,1,65,204.0,103.0,14.0,93.0,40.1
13162,0,37,163.0,58.0,9.0,82.0,39.7
1950,1,33,186.0,83.0,24.0,116.0,40.3
14630,0,28,167.0,66.0,3.0,87.0,38.5
651,1,46,201.0,96.0,25.0,108.0,40.3
2206,0,66,155.0,62.0,19.0,99.0,40.5
8596,0,40,158.0,55.0,16.0,84.0,40.1
2615,1,24,170.0,72.0,9.0,77.0,39.7
1396,1,43,171.0,76.0,14.0,95.0,40.2
12585,1,69,171.0,80.0,21.0,103.0,40.3
5425,1,73,192.0,92.0,2.0,68.0,38.2
14918,0,35,183.0,73.0,17.0,97.0,40.5
1670,0,27,170.0,66.0,9.0,94.0,39.8
2320,1,62,177.0,82.0,21.0,102.0,40.7
13662,0,28,169.0,72.0,14.0,87.0,40.7
6962,1,29,186.0,93.0,25.0,101.0,40.7
1952,0,22,163.0,59.0,16.0,104.0,40.1
7632,0,25,155.0,56.0,16.0,95.0,40.9
4643,0,43,173.0,67.0,11.0,95.0,39.7
2937,0,33,163.0,63.0,22.0,101.0,40.7
10858,1,22,186.0,82.0,14.0,89.0,40.2
10645,1,63,191.0,93.0,18.0,93.0,40.3
3909,0,21,169.0,63.0,11.0,91.0,40.0
11487,0,41,164.0,63.0,11.0,87.0,40.2
13591,0,30,169.0,68.0,2.0,83.0,38.4
484,1,26,180.0,81.0,7.0,92.0,39.5
11129,0,31,145.0,49.0,20.0,101.0,40.5
898,1,76,177.0,84.0,7.0,84.0,39.1
1732,0,34,160.0,63.0,29.0,119.0,41.3
11992,0,39,166.0,65.0,18.0,99.0,40.7
2613,1,43,183.0,88.0,12.0,95.0,40.0
7924,0,77,162.0,58.0,4.0,91.0,39.0
7988,0,20,159.0,55.0,11.0,95.0,40.1
13354,1,32,175.0,77.0,12.0,98.0,39.9
10758,1,21,188.0,87.0,24.0,98.0,40.9
7762,1,26,199.0,93.0,22.0,104.0,40.6
2640,0,49,173.0,66.0,4.0,81.0,38.9
1250,1,30,185.0,88.0,30.0,110.0,40.9
12927,0,33,150.0,53.0,19.0,106.0,40.4
9293,1,24,171.0,76.0,16.0,95.0,40.2
2435,0,40,180.0,76.0,4.0,80.0,38.7
12595,0,61,181.0,78.0,25.0,98.0,40.8
10166,1,79,175.0,80.0,12.0,94.0,40.1
14915,0,72,181.0,76.0,29.0,112.0,40.8
13357,1,73,186.0,89.0,5.0,85.0,39.1
9053,1,43,176.0,82.0,13.0,88.0,40.3
7603,0,24,163.0,59.0,11.0,92.0,39.9
5711,1,40,170.0,79.0,17.0,103.0,40.4
2303,0,62,172.0,75.0,9.0,87.0,39.3
5770,1,45,183.0,87.0,17.0,99.0,40.0
12475,1,48,190.0,83.0,11.0,99.0,39.8
6592,1,37,184.0,86.0,11.0,91.0,39.5
582,0,23,171.0,65.0,27.0,105.0,40.4
4688,0,28,162.0,65.0,17.0,96.0,40.2
14392,0,24,164.0,56.0,8.0,81.0,39.5
718,0,53,172.0,71.0,8.0,89.0,39.7
14778,0,48,170.0,64.0,17.0,99.0,40.3
10379,1,59,179.0,81.0,5.0,83.0,39.1
762,0,63,150.0,50.0,7.0,88.0,39.4
